material_abbreviation,material_name,section,property_name,value,english,comments,unit,test_condition,source_file
PES,Polyethersulfone,Physical Properties,Density,1.21 - 1.85,0.0437 - 0.0668 lb/in³,Average value: 1.49 g/cc Grade Count:239,g/cc,,Polymers_material_data.csv
PES,Polyethersulfone,Physical Properties,Filler Content,5.00 - 40.0,5.00 - 40.0%,Average value: 20.4% Grade Count:56,%,,Polymers_material_data.csv
PES,Polyethersulfone,Physical Properties,Water Absorption,0.100 - 2.20,0.100 - 2.20%,Average value: 0.614% Grade Count:134,%,,Polymers_material_data.csv
PES,Polyethersulfone,Physical Properties,Moisture Absorption at Equilibrium,0.0200 - 1.00,0.0200 - 1.00%,Average value: 0.356% Grade Count:59,%,,Polymers_material_data.csv
PES,Polyethersulfone,Physical Properties,Additive Loading,10.0 - 40.0,10.0 - 40.0%,Average value: 27.3% Grade Count:13,%,,Polymers_material_data.csv
PES,Polyethersulfone,Physical Properties,Particle Size,45.0 - 250,45.0 - 250 µm,Average value: 182 µm Grade Count:3,µm,,Polymers_material_data.csv
PES,Polyethersulfone,Physical Properties,Viscosity,80.0 - 5000,80.0 - 5000 cP,Average value: 851 cP Grade Count:13,cP,,Polymers_material_data.csv
PES,Polyethersulfone,Physical Properties,Viscosity,10.0 - 20.0,10.0 - 20.0 cP,Average value: 15.0 cP Grade Count:1,cP,@Temperature 345 - 345 °C,Polymers_material_data.csv
PES,Polyethersulfone,Physical Properties,Viscosity,10.0 - 20.0,10.0 - 20.0 cP,Average value: 15.0 cP Grade Count:1,cP,@Load 22.0 - 22.0 lb,Polymers_material_data.csv
PES,Polyethersulfone,Physical Properties,Viscosity Test,10.0 - 20.0,10.0 - 20.0 cP,Average value: 15.0 cP Grade Count:1,cP,@Load 10.0 - 10.0 kg,Polymers_material_data.csv
PES,Polyethersulfone,Physical Properties,Viscosity Number,56.0 - 66.0,0.560 - 0.660 dl/g,Average value: 57.4 cm³/g Grade Count:9,cm³/g,,Polymers_material_data.csv
PES,Polyethersulfone,Physical Properties,Viscosity Number,48.0 - 82.0,0.480 - 0.820 dl/g,Average value: 60.0 cm³/g Grade Count:7,cm³/g,,Polymers_material_data.csv
PES,Polyethersulfone,Physical Properties,Linear Mold Shrinkage,0.000500 - 0.0100,0.000500 - 0.0100 in/in,Average value: 0.00405 cm/cm Grade Count:208,cm/cm,,Polymers_material_data.csv
PES,Polyethersulfone,Physical Properties,"Linear Mold Shrinkage, Transverse",0.00250 - 0.00950,0.00250 - 0.00950 in/in,Average value: 0.00658 cm/cm Grade Count:48,cm/cm,,Polymers_material_data.csv
PES,Polyethersulfone,Physical Properties,Melt Flow,4.00 - 150,4.00 - 150 g/10 min,Average value: 38.8 g/10 min Grade Count:46,g/10 min,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,"Hardness, Rockwell M",76.0 - 98.0,76.0 - 98.0,Average value: 92.5 Grade Count:4,,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,"Hardness, Rockwell R",98.0 - 127,98.0 - 127,Average value: 121 Grade Count:41,,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Ball Indentation Hardness,154 - 227,22300 - 32900 psi,Average value: 178 MPa Grade Count:13,MPa,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,"Tensile Strength, Ultimate",56.5 - 325,8190 - 47100 psi,Average value: 116 MPa Grade Count:199,MPa,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,"Tensile Strength, Ultimate",10.0 - 135,1450 - 19600 psi,Average value: 94.0 MPa Grade Count:4,MPa,@Temperature 60.0 - 150 °C,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,"Tensile Strength, Yield",65.5 - 221,9500 - 32000 psi,Average value: 109 MPa Grade Count:50,MPa,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,"Tensile Strength, Yield",50.0 - 75.0,7250 - 10900 psi,Average value: 63.3 MPa Grade Count:1,MPa,@Temperature 60.0 - 140 °C,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Elongation at Break,0.450 - 100,0.450 - 100%,Average value: 6.06% Grade Count:193,%,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Elongation at Break,2.10 - 20.0,2.10 - 20.0%,Average value: 28.3% Grade Count:4,%,@Temperature 60.0 - 150 °C,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Elongation at Yield,0.189 - 6.90,0.189 - 6.90%,Average value: 2.85% Grade Count:52,%,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Elongation at Yield,2.50 - 5.50,2.50 - 5.50%,Average value: 3.85% Grade Count:3,%,@Temperature 60.0 - 150 °C,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Modulus of Elasticity,2.00 - 3.66,290 - 5300 ksi,Average value: 7.46 GPa Grade Count:208,GPa,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Modulus of Elasticity,2.25 - 10.0,326 - 1450 ksi,Average value: 7.57 GPa Grade Count:8,GPa,@Temperature 50.0 - 200 °C,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Flexural Yield Strength,2.60 - 310,377 - 45000 psi,Average value: 171 MPa Grade Count:202,MPa,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Flexural Modulus,2.28 - 24.1,330 - 3500 ksi,Average value: 7.19 GPa Grade Count:206,GPa,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Flexural Strain at Break,1.40 - 3.80,1.40 - 3.80%,Average value: 2.85% Grade Count:4,%,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Compressive Yield Strength,95.8 - 241,13900 - 35000 psi,Average value: 133 MPa Grade Count:27,MPa,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Fatigue Strength,5.00 - 43.0,725 - 6240 psi,Average value: 20.7 MPa Grade Count:2,MPa,@# of Cycles 10000 - 1.00e+7,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Fatigue Strength,5.00 - 43.0,725 - 6240 psi,Average value: 20.7 MPa Grade Count:2,MPa,@Temperature 180 - 180 °C,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Shear Modulus,0.200 - 1.00,29.0 - 145 ksi,Average value: 0.762 GPa Grade Count:8,GPa,@Temperature 50.0 - 225 °C,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Izod Impact,42.0 - 96.0,31.0 - 70.8 ft-lb,Average value: 60.8 J Grade Count:20,J,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,"Izod Impact, Notched",0.214 - 2.14,0.400 - 4.00 ft-lb/in,Average value: 0.686 J/cm Grade Count:162,J/cm,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,"Izod Impact, Unnotched",1.87 - 53.40,3.50 - 100.00 ft-lb/in,Average value: 6.07 J/cm Grade Count:120,J/cm,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,"Izod Impact, Notched (ISO)",5.00 - 14.7,2.38 - 6.99 ft-lb/in²,Average value: 7.87 kJ/m² Grade Count:11,kJ/m²,@Temperature -30.0 - 120 °C,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,"Izod Impact, Unnotched (ISO)",6.50,3.09 ft-lb/in² - NB,Average value: 39.6 kJ/m² Grade Count:41,kJ/m²,NB,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,"Izod Impact, Unnotched (ISO)",42.0 - 59.0,20.0 - 28.1 ft-lb/in²,Average value: 52.7 kJ/m² Grade Count:1,kJ/m²,@Temperature -25.0 - 120 °C,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Charpy Impact Unnotched,1.50,7.14 ft-lb/in² - NB,Average value: 3.59 J/cm² Grade Count:27,J/cm²,NB,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Charpy Impact Unnotched,2.50,11.9 ft-lb/in² - NB,Average value: 3.88 J/cm² Grade Count:14,J/cm²,@Temperature -30.0 - -20.0 °C,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,"Charpy Impact, Notched",0.350 - 1.00,1.67 - 4.76 ft-lb/in²,Average value: 0.680 J/cm² Grade Count:29,J/cm²,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,"Charpy Impact, Notched",0.250 - 0.800,1.19 - 3.81 ft-lb/in²,Average value: 0.654 J/cm² Grade Count:14,J/cm²,@Temperature -30.0 - -20.0 °C,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Tensile Impact Strength,70.0 - 336,33.3 - 160 ft-lb/in²,Average value: 247 kJ/m² Grade Count:3,kJ/m²,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,"Dart Drop, Total Energy",4.00 - 16.0,2.95 - 11.8 ft-lb,Average value: 10.8 J Grade Count:16,J,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Falling Dart Impact,4.20 - 12.8,3.10 - 9.44 ft-lb,Average value: 9.27 J Grade Count:4,J,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Instrumented Impact Total Energy,2.36 - 4.16,1.74 - 3.07 ft-lb,Average value: 2.92 J Grade Count:4,J,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,Coefficient of Friction,0.200 - 0.520,0.200 - 0.520,Average value: 0.413 Grade Count:11,,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,"Coefficient of Friction, Static",0.200 - 0.570,0.200 - 0.570,Average value: 0.365 Grade Count:11,,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,"Tensile Creep Modulus, 1000 hours",2700 - 8300,392000 - 1.20e+6 psi,Average value: 3760 MPa Grade Count:8,MPa,,Polymers_material_data.csv
PES,Polyethersulfone,Mechanical Properties,K (wear) Factor,8.06 - 342 x 10⁻⁸,4.00 - 170 x 10⁻¹⁰ in³-min/ft-lb-hr,Average value: 124 x 10⁻⁸ mm³/N-M Grade Count:10,mm³/N-M,,Polymers_material_data.csv
PES,Polyethersulfone,Electrical Properties,Electrical Resistivity,1.90 - 1.00e+17,1.90 - 1.00e+17 ohm-cm,Average value: 9.06e+15 ohm-cm Grade Count:141,ohm-cm,,Polymers_material_data.csv
PES,Polyethersulfone,Electrical Properties,Surface Resistance,7.80 - 1.00e+15,7.80 - 1.00e+15 ohm,Average value: 1.00e+14 ohm Grade Count:42,ohm,,Polymers_material_data.csv
PES,Polyethersulfone,Electrical Properties,Static Decay,0.500 - 2.00,0.500 - 2.00 sec,Average value: 1.58 sec Grade Count:12,sec,,Polymers_material_data.csv
PES,Polyethersulfone,Electrical Properties,Dielectric Constant,3.06 - 4.30,3.06 - 4.30,Average value: 3.71 Grade Count:65,,,Polymers_material_data.csv
PES,Polyethersulfone,Electrical Properties,Dielectric Strength,8.00 - 181,203 - 4600 kV/in,Average value: 23.0 kV/mm Grade Count:76,kV/mm,,Polymers_material_data.csv
PES,Polyethersulfone,Electrical Properties,Dissipation Factor,0.00100 - 0.0140,0.00100 - 0.0140,Average value: 0.00467 Grade Count:64,,,Polymers_material_data.csv
PES,Polyethersulfone,Electrical Properties,Arc Resistance,50.0 - 179,50.0 - 179 sec,Average value: 83.5 sec Grade Count:23,sec,,Polymers_material_data.csv
PES,Polyethersulfone,Electrical Properties,Comparative Tracking Index,100 - 250,100 - 250 V,Average value: 126 V Grade Count:18,V,,Polymers_material_data.csv
PES,Polyethersulfone,Electrical Properties,"Hot Wire Ignition, HWI",7.00 - 119,7.00 - 119 sec,Average value: 39.9 sec Grade Count:3,sec,,Polymers_material_data.csv
PES,Polyethersulfone,Electrical Properties,"High Amp Arc Ignition, HAI",60.0 - 120,60.0 - 120 arcs,Average value: 113 arcs Grade Count:3,arcs,,Polymers_material_data.csv
PES,Polyethersulfone,Thermal Properties,"CTE, linear",4.00 - 59.0,2.22 - 32.8 µin/in-°F,Average value: 38.5 µm/m-°C Grade Count:114,µm/m-°C,,Polymers_material_data.csv
PES,Polyethersulfone,Thermal Properties,"CTE, linear",4.00 - 60.0,2.22 - 33.3 µin/in-°F,Average value: 37.2 µm/m-°C Grade Count:12,µm/m-°C,@Temperature -26.0 - 180 °C,Polymers_material_data.csv
PES,Polyethersulfone,Thermal Properties,"CTE, linear",26.0 - 34.0,14.4 - 18.9 µin/in-°F,Average value: 37.2 µm/m-°C Grade Count:1,µm/m-°C,@Temperature 75.0 - 175 °C,Polymers_material_data.csv
PES,Polyethersulfone,Thermal Properties,"CTE, linear",26.0 - 34.0,14.4 - 18.9 µin/in-°F,Average value: 37.2 µm/m-°C Grade Count:1,µm/m-°C,@Thickness 2.00 - 4.00 mm,Polymers_material_data.csv
PES,Polyethersulfone,Thermal Properties,"CTE, linear, Transverse to Flow",20.0 - 93.6,11.1 - 52.0 µin/in-°F,Average value: 44.0 µm/m-°C Grade Count:23,µm/m-°C,,Polymers_material_data.csv
PES,Polyethersulfone,Thermal Properties,"CTE, linear, Transverse to Flow",19.5 - 25.0,10.8 - 13.9 µin/in-°F,Average value: 22.3 µm/m-°C Grade Count:1,µm/m-°C,@Temperature 75.0 - 175 °C,Polymers_material_data.csv
PES,Polyethersulfone,Thermal Properties,"CTE, linear, Transverse to Flow",19.5 - 25.0,10.8 - 13.9 µin/in-°F,Average value: 22.3 µm/m-°C Grade Count:1,µm/m-°C,@Thickness 2.00 - 4.00 mm,Polymers_material_data.csv
PES,Polyethersulfone,Thermal Properties,Specific Heat Capacity,0.913 - 1.00,0.218 - 0.239 BTU/lb-°F,Average value: 0.971 J/g-°C Grade Count:3,J/g-°C,,Polymers_material_data.csv
PES,Polyethersulfone,Thermal Properties,Thermal Conductivity,0.163 - 5.99,1.13 - 41.6 BTU-in/hr-ft²-°F,Average value: 0.473 W/m-K Grade Count:29,W/m-K,,Polymers_material_data.csv
PES,Polyethersulfone,Thermal Properties,"Maximum Service Temperature, Air",180 - 220,356 - 428 °F,Average value: 199 °C Grade Count:26,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Thermal Properties,Deflection Temperature at 0.46 MPa (66 psi),160 - 225,320 - 437 °F,Average value: 214 °C Grade Count:69,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Thermal Properties,Deflection Temperature at 1.8 MPa (264 psi),146 - 228,295 - 442 °F,Average value: 208 °C Grade Count:217,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Thermal Properties,Vicat Softening Point,210 - 220,410 - 428 °F,Average value: 218 °C Grade Count:10,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Thermal Properties,"Glass Transition Temp, Tg",158 - 228,316 - 442 °F,Average value: 222 °C Grade Count:39,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Thermal Properties,Decomposition Temperature,400,752 °F,Average value: 400 °C Grade Count:9,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Thermal Properties,"UL RTI, Electrical",180 - 190,356 - 374 °F,Average value: 183 °C Grade Count:21,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Thermal Properties,"UL RTI, Mechanical with Impact",170 - 190,338 - 374 °F,Average value: 181 °C Grade Count:16,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Thermal Properties,"UL RTI, Mechanical without Impact",180 - 190,356 - 374 °F,Average value: 186 °C Grade Count:14,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Flammability Properties,"Flammability, UL94",V-2 - 5VA,V-2 - 5VA,Average value: V-0 Grade Count:156,,,Polymers_material_data.csv
PES,Polyethersulfone,Flammability Properties,Oxygen Index,30.0 - 49.0,30.0 - 49.0%,Average value: 40.2% Grade Count:19,%,,Polymers_material_data.csv
PES,Polyethersulfone,Flammability Properties,Glow Wire Test,825 - 960,1520 - 1760 °F,Average value: 902 °C Grade Count:4,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Flammability Properties,Ignition Temperature,500 - 600,932 - 1110 °F,Average value: 580 °C Grade Count:9,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Optical Properties,Refractive Index,1.63 - 1.68,1.63 - 1.68,Average value: 1.65 Grade Count:7,,,Polymers_material_data.csv
PES,Polyethersulfone,Optical Properties,"Transmission, Visible",30.0 - 90.0,30.0 - 90.0%,Average value: 79.8% Grade Count:9,%,,Polymers_material_data.csv
PES,Polyethersulfone,Processing Properties,Processing Temperature,80.0 - 366,176 - 690 °F,Average value: 297 °C Grade Count:40,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Processing Properties,Nozzle Temperature,340 - 390,644 - 734 °F,Average value: 357 °C Grade Count:6,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Processing Properties,Adapter Temperature,300 - 371,572 - 700 °F,Average value: 338 °C Grade Count:8,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Processing Properties,Die Temperature,300 - 371,572 - 700 °F,Average value: 338 °C Grade Count:8,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Processing Properties,Melt Temperature,288 - 410,550 - 770 °F,Average value: 364 °C Grade Count:167,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Processing Properties,Mold Temperature,79.4 - 200,175 - 392 °F,Average value: 152 °C Grade Count:190,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Processing Properties,Drying Temperature,110 - 180,230 - 356 °F,Average value: 149 °C Grade Count:158,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Processing Properties,Moisture Content,0.0200 - 0.0500,0.0200 - 0.0500%,Average value: 0.0407% Grade Count:74,%,,Polymers_material_data.csv
PES,Polyethersulfone,Processing Properties,Dew Point,-31.7,-25.0 °F,Average value: -31.7 °C Grade Count:61,°C,,Polymers_material_data.csv
PES,Polyethersulfone,Processing Properties,Injection Pressure,3.45 - 103,500 - 15000 psi,Average value: 84.5 MPa Grade Count:92,MPa,,Polymers_material_data.csv
,"Acetal Copolymer, Unreinforced",Physical Properties,Density,0.950 - 1.71,0.0343 - 0.0618 lb/in³,Average value: 1.41 g/cc Grade Count:596,g/cc,,Polymers_material_data.csv
,"Acetal Copolymer, Unreinforced",Physical Properties,Water Absorption,0.0500 - 4.00,0.0500 - 4.00 %,Average value: 0.412% Grade Count:214,%,,Polymers_material_data.csv
,"Acetal Copolymer, Unreinforced",Physical Properties,Water Absorption,0.330 - 0.330,0.330 - 0.330 %,Average value: 0.330% Grade Count:3,%,@Temperature 50.0 - 50.0 °C,Polymers_material_data.csv
,"Acetal Copolymer, Unreinforced",Physical Properties,Water Absorption,0.330 - 0.330,0.330 - 0.330 %,Average value: 0.330% Grade Count:3,%,@Time 86400 - 86400 sec,Polymers_material_data.csv
,"Acetal Copolymer, Unreinforced",Physical Properties,Moisture Absorption at Equilibrium,0.0200 - 2.30,0.0200 - 2.30 %,Average value: 0.264% Grade Count:157,%,,Polymers_material_data.csv
,"Acetal Copolymer, Unreinforced",Physical Properties,Water Absorption at Saturation,0.220 - 8.00,0.220 - 8.00 %,Average value: 0.883% Grade Count:95,%,,Polymers_material_data.csv
,"Acetal Copolymer, Unreinforced",Physical Properties,Maximum Moisture Content,0.0200 - 0.150,0.0200 - 0.150,Average value: 0.112 Grade Count:39,,,Polymers_material_data.csv
,"Acetal Copolymer, Unreinforced",Physical Properties,Maximum Moisture Content,0.200 - 0.300,0.200 - 0.300,Average value: 0.250 Grade Count:2,,@Temperature 100 - 100 °C,Polymers_material_data.csv
,"Acetal Copolymer, Unreinforced",Physical Properties,Maximum Moisture Content,0.200 - 0.300,0.200 - 0.300,Average value: 0.250 Grade Count:2,,@Time 299 - 299 sec,Polymers_material_data.csv
,"Acetal Copolymer, Unreinforced",Physical Properties,Linear Mold Shrinkage,0.00210 - 0.0360,0.00210 - 0.0360 in/in,Average value: 0.0204 cm/cm Grade Count:392,cm/cm,,Polymers_material_data.csv
,"Acetal Copolymer, Unreinforced",Physical Properties,Linear Mold Shrinkage,0.0200 - 0.0220,0.0200 - 0.0220 in/in,Average value: 0.0207 cm/cm Grade Count:8,cm/cm,@Temperature 80.0 - 80.0 °C,Polymers_material_data.csv
